sample_id,file_name,label,speech_only_input_ids_len,speech_text_input_ids_len,speech_only_text_embedding_shape,speech_text_text_embedding_shape,speech_only_audio_feature_shape,speech_text_audio_feature_shape,speech_only_audio_keys,speech_text_audio_keys,text_embedding_cosine_speech_only_vs_speech_text,audio_feature_cosine_speech_only_vs_speech_text,audio_feature_mean_abs_diff
10,0_0_d704.wav,imperative,227,239,"(1, 227, 2048)","(1, 239, 2048)","(1, 128, 30000)","(1, 128, 30000)","['feature_attention_mask', 'input_features']","['feature_attention_mask', 'input_features']",0.9915268421173096,1.0,0.0
11,0_0_d749.wav,imperative,233,244,"(1, 233, 2048)","(1, 244, 2048)","(1, 128, 30000)","(1, 128, 30000)","['feature_attention_mask', 'input_features']","['feature_attention_mask', 'input_features']",0.9931345582008362,1.0,0.0
12,0_0_d756.wav,exclamatory,223,232,"(1, 223, 2048)","(1, 232, 2048)","(1, 128, 30000)","(1, 128, 30000)","['feature_attention_mask', 'input_features']","['feature_attention_mask', 'input_features']",0.9921546578407288,1.0000001192092896,0.0
13,0_0_d792.wav,imperative,251,266,"(1, 251, 2048)","(1, 266, 2048)","(1, 128, 30000)","(1, 128, 30000)","['feature_attention_mask', 'input_features']","['feature_attention_mask', 'input_features']",0.9929368495941162,0.9999998807907104,0.0
14,0_0_d838.wav,declarative,207,215,"(1, 207, 2048)","(1, 215, 2048)","(1, 128, 30000)","(1, 128, 30000)","['feature_attention_mask', 'input_features']","['feature_attention_mask', 'input_features']",0.9924288988113403,1.0,0.0
15,0_0_d893.wav,imperative,224,235,"(1, 224, 2048)","(1, 235, 2048)","(1, 128, 30000)","(1, 128, 30000)","['feature_attention_mask', 'input_features']","['feature_attention_mask', 'input_features']",0.9922829270362854,0.9999998807907104,0.0
16,0_0_d70.wav,declarative,229,241,"(1, 229, 2048)","(1, 241, 2048)","(1, 128, 30000)","(1, 128, 30000)","['feature_attention_mask', 'input_features']","['feature_attention_mask', 'input_features']",0.9921531677246094,0.9999999403953552,0.0
17,0_0_d1015.wav,declarative,304,325,"(1, 304, 2048)","(1, 325, 2048)","(1, 128, 30000)","(1, 128, 30000)","['feature_attention_mask', 'input_features']","['feature_attention_mask', 'input_features']",0.9944888353347778,1.0,0.0
18,0_0_d1037.wav,imperative,214,221,"(1, 214, 2048)","(1, 221, 2048)","(1, 128, 30000)","(1, 128, 30000)","['feature_attention_mask', 'input_features']","['feature_attention_mask', 'input_features']",0.9929131269454956,1.0,0.0
19,0_0_d1038.wav,imperative,257,271,"(1, 257, 2048)","(1, 271, 2048)","(1, 128, 30000)","(1, 128, 30000)","['feature_attention_mask', 'input_features']","['feature_attention_mask', 'input_features']",0.9931315779685974,1.0,0.0
20,0_0_d1140.wav,declarative,348,370,"(1, 348, 2048)","(1, 370, 2048)","(1, 128, 30000)","(1, 128, 30000)","['feature_attention_mask', 'input_features']","['feature_attention_mask', 'input_features']",0.9962160587310791,0.9999999403953552,0.0
21,0_0_d1270.wav,imperative,283,304,"(1, 283, 2048)","(1, 304, 2048)","(1, 128, 30000)","(1, 128, 30000)","['feature_attention_mask', 'input_features']","['feature_attention_mask', 'input_features']",0.9919055700302124,1.0,0.0
22,0_0_d1318.wav,imperative,211,221,"(1, 211, 2048)","(1, 221, 2048)","(1, 128, 30000)","(1, 128, 30000)","['feature_attention_mask', 'input_features']","['feature_attention_mask', 'input_features']",0.991536021232605,0.9999998807907104,0.0
23,0_0_d1321.wav,imperative,211,218,"(1, 211, 2048)","(1, 218, 2048)","(1, 128, 30000)","(1, 128, 30000)","['feature_attention_mask', 'input_features']","['feature_attention_mask', 'input_features']",0.9923673868179321,1.0000001192092896,0.0
24,0_0_d1346.wav,declarative,226,238,"(1, 226, 2048)","(1, 238, 2048)","(1, 128, 30000)","(1, 128, 30000)","['feature_attention_mask', 'input_features']","['feature_attention_mask', 'input_features']",0.9909565448760986,0.9999998807907104,0.0
25,0_0_d1347.wav,imperative,235,246,"(1, 235, 2048)","(1, 246, 2048)","(1, 128, 30000)","(1, 128, 30000)","['feature_attention_mask', 'input_features']","['feature_attention_mask', 'input_features']",0.9936000108718872,1.0,0.0
26,0_0_d85.wav,declarative,248,262,"(1, 248, 2048)","(1, 262, 2048)","(1, 128, 30000)","(1, 128, 30000)","['feature_attention_mask', 'input_features']","['feature_attention_mask', 'input_features']",0.9923732876777649,0.9999999403953552,0.0
27,0_0_d1574.wav,imperative,279,299,"(1, 279, 2048)","(1, 299, 2048)","(1, 128, 30000)","(1, 128, 30000)","['feature_attention_mask', 'input_features']","['feature_attention_mask', 'input_features']",0.9932554364204407,0.9999998807907104,0.0
28,0_0_d1645.wav,declarative,268,285,"(1, 268, 2048)","(1, 285, 2048)","(1, 128, 30000)","(1, 128, 30000)","['feature_attention_mask', 'input_features']","['feature_attention_mask', 'input_features']",0.9937758445739746,1.0000001192092896,0.0
29,0_0_d1789.wav,imperative,244,259,"(1, 244, 2048)","(1, 259, 2048)","(1, 128, 30000)","(1, 128, 30000)","['feature_attention_mask', 'input_features']","['feature_attention_mask', 'input_features']",0.991288423538208,0.9999999403953552,0.0
30,0_0_d1796.wav,declarative,295,320,"(1, 295, 2048)","(1, 320, 2048)","(1, 128, 30000)","(1, 128, 30000)","['feature_attention_mask', 'input_features']","['feature_attention_mask', 'input_features']",0.9925671815872192,1.0,0.0
31,0_0_d1833.wav,declarative,268,285,"(1, 268, 2048)","(1, 285, 2048)","(1, 128, 30000)","(1, 128, 30000)","['feature_attention_mask', 'input_features']","['feature_attention_mask', 'input_features']",0.9936120510101318,0.9999999403953552,0.0
32,0_0_d1885.wav,imperative,223,234,"(1, 223, 2048)","(1, 234, 2048)","(1, 128, 30000)","(1, 128, 30000)","['feature_attention_mask', 'input_features']","['feature_attention_mask', 'input_features']",0.9920766353607178,1.0,0.0
33,0_0_d93.wav,interrogative,213,221,"(1, 213, 2048)","(1, 221, 2048)","(1, 128, 30000)","(1, 128, 30000)","['feature_attention_mask', 'input_features']","['feature_attention_mask', 'input_features']",0.9918425679206848,0.9999999403953552,0.0
34,0_0_d1981.wav,imperative,255,270,"(1, 255, 2048)","(1, 270, 2048)","(1, 128, 30000)","(1, 128, 30000)","['feature_attention_mask', 'input_features']","['feature_attention_mask', 'input_features']",0.9918075799942017,1.0,0.0
35,0_0_d2023.wav,imperative,271,289,"(1, 271, 2048)","(1, 289, 2048)","(1, 128, 30000)","(1, 128, 30000)","['feature_attention_mask', 'input_features']","['feature_attention_mask', 'input_features']",0.992615818977356,1.0,0.0
36,0_0_d2110.wav,imperative,277,296,"(1, 277, 2048)","(1, 296, 2048)","(1, 128, 30000)","(1, 128, 30000)","['feature_attention_mask', 'input_features']","['feature_attention_mask', 'input_features']",0.9935136437416077,1.0000001192092896,0.0
37,0_0_d2223.wav,declarative,227,238,"(1, 227, 2048)","(1, 238, 2048)","(1, 128, 30000)","(1, 128, 30000)","['feature_attention_mask', 'input_features']","['feature_attention_mask', 'input_features']",0.9923430681228638,0.9999998807907104,0.0
38,0_0_d2283.wav,declarative,244,257,"(1, 244, 2048)","(1, 257, 2048)","(1, 128, 30000)","(1, 128, 30000)","['feature_attention_mask', 'input_features']","['feature_attention_mask', 'input_features']",0.9930907487869263,1.0,0.0
39,0_0_d2367.wav,exclamatory,260,271,"(1, 260, 2048)","(1, 271, 2048)","(1, 128, 30000)","(1, 128, 30000)","['feature_attention_mask', 'input_features']","['feature_attention_mask', 'input_features']",0.9948945045471191,0.9999999403953552,0.0
40,0_0_d2471.wav,imperative,278,293,"(1, 278, 2048)","(1, 293, 2048)","(1, 128, 30000)","(1, 128, 30000)","['feature_attention_mask', 'input_features']","['feature_attention_mask', 'input_features']",0.9951574802398682,0.9999999403953552,0.0
41,0_1_d71.wav,imperative,203,210,"(1, 203, 2048)","(1, 210, 2048)","(1, 128, 30000)","(1, 128, 30000)","['feature_attention_mask', 'input_features']","['feature_attention_mask', 'input_features']",0.991949200630188,1.0,0.0
42,0_1_d291.wav,imperative,214,223,"(1, 214, 2048)","(1, 223, 2048)","(1, 128, 30000)","(1, 128, 30000)","['feature_attention_mask', 'input_features']","['feature_attention_mask', 'input_features']",0.9917502403259277,1.0,0.0
43,0_1_d321.wav,imperative,273,289,"(1, 273, 2048)","(1, 289, 2048)","(1, 128, 30000)","(1, 128, 30000)","['feature_attention_mask', 'input_features']","['feature_attention_mask', 'input_features']",0.9933310747146606,0.9999999403953552,0.0
44,0_1_d371.wav,imperative,230,243,"(1, 230, 2048)","(1, 243, 2048)","(1, 128, 30000)","(1, 128, 30000)","['feature_attention_mask', 'input_features']","['feature_attention_mask', 'input_features']",0.9909423589706421,0.9999998807907104,0.0
45,0_1_d433.wav,declarative,251,266,"(1, 251, 2048)","(1, 266, 2048)","(1, 128, 30000)","(1, 128, 30000)","['feature_attention_mask', 'input_features']","['feature_attention_mask', 'input_features']",0.9926596283912659,1.0,0.0
46,0_1_d453.wav,declarative,354,380,"(1, 354, 2048)","(1, 380, 2048)","(1, 128, 30000)","(1, 128, 30000)","['feature_attention_mask', 'input_features']","['feature_attention_mask', 'input_features']",0.9953317642211914,0.9999999403953552,0.0
47,0_1_d455.wav,imperative,232,243,"(1, 232, 2048)","(1, 243, 2048)","(1, 128, 30000)","(1, 128, 30000)","['feature_attention_mask', 'input_features']","['feature_attention_mask', 'input_features']",0.9924108982086182,1.000000238418579,0.0
48,0_1_d457.wav,declarative,280,300,"(1, 280, 2048)","(1, 300, 2048)","(1, 128, 30000)","(1, 128, 30000)","['feature_attention_mask', 'input_features']","['feature_attention_mask', 'input_features']",0.992306113243103,1.0000001192092896,0.0
49,0_1_d505.wav,declarative,262,279,"(1, 262, 2048)","(1, 279, 2048)","(1, 128, 30000)","(1, 128, 30000)","['feature_attention_mask', 'input_features']","['feature_attention_mask', 'input_features']",0.9927370548248291,1.0000001192092896,0.0
